ObservationId,ClassId
3008822340,889
3008822343,1128
3008822344,671
3008822345,1401
3008822346,1184
3008822347,386
3008822348,93
3008822354,836
3008822357,386
3008822358,356
3008822359,1213
3008822365,492
3008822366,1543
3008822367,854
3008822373,1437
3008822374,522
3008822375,1182
3008822376,1420
3008822380,1395
3008822381,1484
3008822382,1418
3008822383,553
3008822386,100
3008822387,223
3008822388,1184
3008822389,1128
3008822390,496
3008822391,744
3008822392,171
3008822393,885
3008822394,1274
3008822395,213
3008822396,1357
3008822397,885
3008822398,1482
3008823345,99
3008823346,836
3008823347,608
3008823349,703
3008823350,471
3008823351,553
3008823352,1482
3008823353,1014
3008823354,223
3008823355,1182
3008823356,1491
3008823361,195
3008823362,196
3008823363,469
3008823365,671
3008823367,957
3008823369,88
3008823372,857
3008823374,489
3008823375,1411
3008823378,489
3008823381,1491
3008823382,1401
3008823383,401
3008823384,1500
3008823385,1491
3008823386,1146
3008823388,1039
3008823389,1437
3008823390,357
3008823391,147
3008823392,1401
3008823395,1543
3008823396,131
3008823398,471
3008823400,136
3008823401,580
3008823402,1059
3008823403,1274
3008823404,975
3008823405,249
3008823406,1595
3008823407,1395
3008824338,467
3008824339,262
3008824340,1020
3008824341,672
3008824343,1014
3008824345,351
3008824346,739
3008824347,1491
3008824348,88
3008824353,538
3008824355,492
3008824357,492
3008824358,1128
3008824359,489
3008824363,1575
3008824364,1440
3008824366,147
3008824367,927
3008824368,88
3008824369,856
3008824370,580
3008824372,1175
3008824373,374
3008824374,88
3008824375,1182
3008824376,1136
3008824377,356
3008824380,267
3008824381,1401
3008824383,170
3008824384,1595
3008824385,185
3008824388,591
3008824389,1491
3008824390,695
3008824391,1128
3008824392,1182
3008824393,1491
3008824394,1400
3008824395,1182
3008824396,1483
3008824397,1437
3008824398,75
3008825342,1437
3008825343,934
3008825348,1483
3008825349,124
3008825350,1175
3008825351,124
3008825353,1491
3008825354,1543
3008825358,685
3008825359,692
3008825360,1121
3008825361,1061
3008825362,449
3008825363,740
3008825366,687
3008825367,170
3008825369,856
3008825370,1296
3008825371,973
3008825372,170
3008825377,223
3008825378,487
3008825379,387
3008825380,1491
3008825381,1483
3008825382,1596
3008825383,74
3008825384,1175
